Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,21013,"Baldwin, MD",,562449.5,0.0868,0.0728,17,-0.2273,-0.2273,99.25,0.3322,0.627,0,,-1,0,,,2,,-0.5,0,,,643056,0.0771,0.0903,17,-0.2273,-0.2273,0,0,0
1/1/2019 0:00,21014,"Bel Air, MD",,342189.5,0.0065,0.1408,83,-0.0879,-0.2876,54.75,-0.0223,-0.2179,42,0.5,0.05,2,,,14,0.1667,-0.65,0,,,339872,0.0143,0.1188,83,-0.0879,-0.2876,0,0,0
1/1/2019 0:00,21015,"Bel Air, MD",,451701.75,0.0312,0.2862,86,-0.0337,-0.0995,59,-0.0484,-0.2602,36,1.25,0.2857,4,,1,14,0.1667,-0.2222,0,,,456995,0.0445,0.074,86,-0.0337,-0.0995,0,0,0
1/1/2019 0:00,21017,"Belcamp, MD",,199500,-0.0502,0.101,26.5,-0.1167,0,92.75,0.1311,0.5267,6,0.5,-0.5714,0,,,10,1.5,0.25,0,,,219071,-0.0217,0.1046,26.5,-0.1167,0,0,0,0
1/1/2019 0:00,21029,"Clarksville, MD",,921045,0.0233,0.0279,53.5,-0.0446,0.0808,100.5,0.1618,-0.1184,16,1,0.6,0,,,2,-0.5,-0.5,0,,,941145,0.0126,-0.0254,53.5,-0.0446,0.0808,0,0,0
1/1/2019 0:00,21030,"Cockeysville, MD",,390021.25,0.0209,-0.05,45,-0.1176,-0.1429,88,0.1892,0.1,16,1,-0.2,0,,,10,0.25,0.6667,1,0,0,612218,0.0653,-0.1564,46,-0.1154,-0.1402,0.0222,0.0026,0.0032
1/1/2019 0:00,21032,"Crownsville, MD",,633834.75,-0.0798,-0.1136,49,-0.1967,-0.0392,109,0.101,-0.1066,12,0.5,0.5,2,-0.5,,14,0.75,1.3333,0,,,661184,-0.0501,-0.0124,49,-0.1967,-0.0392,0,0,0
1/1/2019 0:00,21035,"Davidsonville, MD",,749550,0.0557,0.0525,28,-0.0968,-0.1884,102.5,-0.1458,-0.0929,14,,1.3333,0,,,6,0.5,0.5,0,,,733568,0.0099,-0.033,28,-0.0968,-0.1884,0,0,0
1/1/2019 0:00,21037,"Edgewater, MD",,479520,0.0001,0.0402,130.5,-0.081,0.0195,101,0.086,0.005,34,0.7,0.7,2,-0.5,,32,0,1,1,0,0,588294,0.0098,-0.1122,131.5,-0.0804,0.0194,0.0077,0.0006,-0.0001
1/1/2019 0:00,21040,"Edgewood, MD",*,154950,-0.0313,-0.1148,63,0.0328,-0.087,118.25,0.375,,14,-0.125,-0.5,2,,,16,0.3333,0,0,,,146422,-0.0544,-0.1385,63,0.0328,-0.087,0,0,0
1/1/2019 0:00,21042,"Ellicott City, MD",*,630040,0,,91.5,-0.1528,0.1806,80,0.2121,0.0667,28,0,0.0769,2,,-0.6667,24,1,2,0,,,691645,0.0111,-0.14,91.5,-0.1528,0.1806,0,0,0
1/1/2019 0:00,21043,"Ellicott City, MD",*,457542.5,0.0169,-0.0053,87,-0.2091,-0.13,78.25,0.2421,,24,0.5,-0.3684,0,,-1,20,0,0.6667,0,,,492457,0.0424,-0.0032,87,-0.2091,-0.13,0,0,0
1/1/2019 0:00,21044,"Columbia, MD",,336050,-0.0116,0.0125,72.5,-0.1369,-0.1471,58.25,0.0043,-0.0372,24,0,-0.4545,0,,-1,14,-0.125,0.1667,0,,,402856,0.0302,0.0911,72.5,-0.1369,-0.1471,0,0,0
1/1/2019 0:00,21045,"Columbia, MD",,342225,0.0064,0.0239,83,-0.17,0.1857,61.25,0.1557,0.0251,42,1.625,0.1053,0,,,18,-0.25,-0.1,0,,,342120,0.0046,-0.0063,83,-0.17,0.1857,0,0,0
1/1/2019 0:00,21046,"Columbia, MD",,315050,0.043,-0.0282,29.5,-0.3295,0.439,68.75,0.2972,0.1224,10,-0.1667,0.25,0,,,8,1,1,0,,,328698,-0.0151,-0.0064,29.5,-0.3295,0.439,0,0,0
1/1/2019 0:00,21047,"Fallston, MD",,517500,-0.0328,0.1372,26.5,-0.1452,-0.2838,111,0.1443,0.4849,10,1.5,0.25,0,,,4,0,-0.5,0,,,537673,0.0073,0.0501,26.5,-0.1452,-0.2838,0,0,0
1/1/2019 0:00,21048,"Finksburg, MD",*,343550,-0.0186,,35,-0.1463,0.3208,81.75,-0.003,-0.1594,8,1,1,0,,,6,0.5,0.5,0,,,421733,-0.0179,-0.1486,35,-0.1463,0.3208,0,0,0
1/1/2019 0:00,21050,"Forest Hill, MD",*,428725,0.0584,,33.5,-0.1829,,70.25,0.0725,,16,3,0,0,,-1,6,-0.5,-0.4,1,0,0,458172,0.092,-0.0112,34.5,-0.1786,-0.3839,0.0299,0.0055,0.0117
1/1/2019 0:00,21054,"Gambrills, MD",*,682225,0.0415,0.2314,82.5,-0.0934,0.0784,142.75,0.0233,,16,1,-0.2,0,,,10,0.25,-0.5,0,,,612709,0.0383,0.1044,82.5,-0.0934,0.0784,0,0,0
1/1/2019 0:00,21060,"Glen Burnie, MD",,309999.75,0.0002,-0.0043,134,-0.1126,-0.1184,57.25,-0.0297,-0.1423,52,0.0833,-0.2121,14,2.5,-0.2222,52,0.625,3.3333,0,,,317459,0.0125,0.0182,134,-0.1126,-0.1184,0,0,0
1/1/2019 0:00,21061,"Glen Burnie, MD",,267500,0.0286,0.0055,102.5,-0.0848,-0.1048,60.5,0.0168,-0.1037,34,0.4167,-0.15,2,-0.5,-0.5,22,0.375,-0.3125,0,,,270305,0.0139,0.0078,102.5,-0.0848,-0.1048,0,0,0
1/1/2019 0:00,21074,"Hampstead, MD",,363550,0.0395,0.0499,38.5,-0.061,-0.3186,63.5,-0.0522,-0.1533,14,0.1667,-0.125,0,,-1,8,0,-0.2,0,,,383127,0.0416,0.0355,38.5,-0.061,-0.3186,0,0,0
1/1/2019 0:00,21075,"Elkridge, MD",,350000,-0.0142,-0.0832,67,-0.1299,-0.1126,56.5,0.0273,-0.0924,22,0.8333,0.375,0,,-1,18,3.5,-0.25,0,,,386206,-0.0045,-0.0963,67,-0.1299,-0.1126,0,0,0
1/1/2019 0:00,21076,"Hanover, MD",,430549.5,0.0565,0.0251,101,-0.1368,0.2704,55.5,-0.126,-0.1462,32,0,0.6,6,,2,20,0,1,0,,,427070,0.036,0.018,101,-0.1368,0.2704,0,0,0
1/1/2019 0:00,21078,"Havre de Grace, MD",,305800,0.0194,0.1278,111.5,0.0619,0.0372,64.5,0.0661,-0.2586,30,0.0714,0.1538,0,-1,-1,32,0.3333,0.1429,0,,,323081,0.0273,0.0868,111.5,0.0619,0.0372,0,0,0
1/1/2019 0:00,21084,"Jarrettsville, MD",,485540,-0.0222,-0.019,24.5,-0.1833,0.0652,76.75,-0.0863,-0.3117,6,,-0.25,0,,,4,0,,0,,,454720,-0.0176,-0.0874,24.5,-0.1833,0.0652,0,0,0
1/1/2019 0:00,21085,"Joppa, MD",,221750,-0.0212,-0.0357,50.5,-0.114,-0.2463,65.25,-0.2324,-0.044,20,0.6667,-0.0909,0,,,12,-0.25,-0.1429,0,,,237868,-0.0426,-0.0993,50.5,-0.114,-0.2463,0,0,0
1/1/2019 0:00,21087,"Kingsville, MD",,599935,0.0064,-0.0285,28,-0.0667,0.3659,84.25,-0.5421,0.1661,4,,-0.5,0,,,4,,,0,,,591409,0.0534,-0.0337,28,-0.0667,0.3659,0,0,0
1/1/2019 0:00,21090,"Linthicum Heights, MD",,322625,0.0406,0.0845,25,-0.1071,0.1111,92,0.2432,-0.1024,8,1,0.3333,0,,-1,8,-0.3333,0.3333,0,,,339005,0.0235,0.1652,25,-0.1071,0.1111,0,0,0
1/1/2019 0:00,21093,"Lutherville Timonium, MD",*,374975,-0.0002,,139.5,-0.1115,,80.5,0.15,,36,0.8,-0.1818,2,,0,26,-0.4091,0.8571,0,,,525438,0.0816,-0.1198,139.5,-0.1115,0.3349,0,0,0
1/1/2019 0:00,21102,"Manchester, MD",,349050,-0.0279,-0.0328,36.5,-0.2396,-0.131,75.25,0.2137,-0.1592,6,-0.25,-0.4,0,,,6,0.5,2,0,,,414260,0.0144,-0.0116,36.5,-0.2396,-0.131,0,0,0
1/1/2019 0:00,21104,"Marriottsville, MD",*,678750,-0.0303,,21,0,,124.5,0.1745,,4,0,,0,,,2,-0.8333,-0.6667,0,,,610993,0.0045,-0.1209,21,0,1,0,0,0
