Month,CBSACode,CBSATitle,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,41940,"San Jose-Sunnyvale-Santa Clara, CA",36,*,999494,-0.0006,-0.0916,1311,-0.1201,1.278,53,0.0392,1,1130,1.2967,0.2929,24,0,-0.2,290,-0.0584,5.0417,673.5,-0.2789,-0.0892,1518784,0.0195,-0.1521,1984.5,-0.1813,0.5091,0.5137,-0.1131,-0.7712
1/1/2019 0:00,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",37,,280025,0.0035,0.0407,10074,-0.0518,0.0139,75,0,-0.0964,3068,0.5402,0.1422,156,0.56,-0.3858,1724,0.6264,0.0286,322.5,-0.0864,-0.2294,356911,0.0011,0.0242,10396.5,-0.0529,0.0041,0.032,-0.0012,-0.0101
1/1/2019 0:00,33340,"Milwaukee-Waukesha-West Allis, WI",38,,249750,0.0196,0.1563,3673.5,-0.1112,-0.0567,68.5,0.123,-0.1329,1316,0.5667,0.0822,22,1.75,-0.3125,594,-0.0541,-0.0419,1,-0.5,,334640,0.0204,0.0907,3674.5,-0.1114,-0.0565,0.0003,-0.0002,0.0003
1/1/2019 0:00,39300,"Providence-Warwick, RI-MA",39,,339950,0.0027,0.0303,5358.5,-0.1197,0.164,77.5,0.1567,-0.0882,1470,0.1484,0.1722,24,0.2,-0.3333,916,0.0178,0.3837,1040.5,-0.0515,-0.0567,495005,0.008,-0.0109,6399,-0.1093,0.1214,0.1942,0.014,-0.0454
1/1/2019 0:00,27260,"Jacksonville, FL",40,,299050,0,-0.0261,9876.5,-0.019,0.1761,84.5,0.0974,0.0432,3228,0.5084,0.2274,520,0.7568,0.9259,2786,0.3068,0.3833,3157,-0.0928,-0.0459,409885,0.0212,-0.0088,13033.5,-0.038,0.1134,0.3196,-0.026,-0.0744
1/1/2019 0:00,36420,"Oklahoma City, OK",41,,235000,0.0041,0.0443,5195.5,-0.0762,-0.1104,74,0.0571,-0.0133,1802,0.3058,-0.0721,62,0.1071,-0.4464,1188,0.0313,-0.1148,2.5,-0.8438,0,316760,0.0139,0.0876,5198,-0.0784,-0.1103,0.0005,-0.0024,0.0001
1/1/2019 0:00,31140,"Louisville/Jefferson County, KY-IN",42,,239950,-0.0004,0.0635,4036,-0.0834,0.0855,68.5,0.096,-0.0774,1460,0.2457,0.1265,48,-0.2941,-0.3514,860,0.0969,0.1653,1129.5,-0.0928,-0.245,311859,-0.0091,0.0471,5165.5,-0.0854,-0.0093,0.2799,-0.0029,-0.1225
1/1/2019 0:00,32820,"Memphis, TN-MS-AR",43,,204837.5,-0.001,0.086,3828,-0.092,-0.0288,76.75,0.081,-0.0697,1264,0.3167,0.1791,70,0.0938,0.25,762,0.0763,0.1239,860,-0.1116,-0.1663,251967,0.0028,0.0277,4688,-0.0957,-0.0573,0.2247,-0.0049,-0.037
1/1/2019 0:00,35380,"New Orleans-Metairie, LA",44,,270275,-0.0174,0.0036,4700.5,-0.046,0.0027,88.5,0.0793,0.0231,1498,0.6644,0.1833,40,0.25,-0.2593,1138,0.2316,0.2588,1474.5,-0.0267,-0.035,378718,-0.0073,0.0034,6175,-0.0414,-0.0066,0.3137,0.0062,-0.0122
1/1/2019 0:00,40060,"Richmond, VA",45,*,300025,0.0001,0.0347,3745,-0.1006,0.0926,68.5,0.0873,-0.0616,1460,0.5208,0.0879,82,-0.0238,-0.1633,710,0.0823,0.2724,2527.5,-0.0769,-0.1138,357598,-0.001,0.0235,6272.5,-0.0912,-0.0011,0.6749,0.0174,-0.1572
