Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,9003,"Hartford, CT",54,,244475,-0.0019,-0.0089,3564.5,-0.1082,0.1094,91.5,0.0765,0.0958,836,0.4615,-0.0211,14,-0.125,-0.2222,584,0.1774,-0.0234,1,-0.6667,,310920,0.001,-0.0246,3565.5,-0.1086,0.1097,0.0003,-0.0005,0.0003
1/1/2019 0:00,34003,"Bergen, NJ",55,,576550,-0.0311,-0.0212,3781.5,-0.087,0.1614,83.5,0.057,-0.0176,1294,0.9606,0.1194,18,0.5,0.2857,520,0.1607,0.3131,0,,-1,926434,0.0055,-0.0437,3781.5,-0.087,0.161,0,0,-0.0003
1/1/2019 0:00,9001,"Fairfield, CT",56,,732050,-0.0095,-0.0033,6281,-0.0892,0.096,118,0.1028,0.0351,1454,0.9543,0.1467,38,2.1667,0.1875,922,0.6703,0.2359,16.5,-0.1316,0.1,1412762,-0.0091,-0.0051,6297.5,-0.0893,0.096,0.0026,-0.0001,0
1/1/2019 0:00,17043,"DuPage, IL",57,,368400,0.0092,-0.0266,4229.5,-0.0667,0.1071,80,0.0959,0.0667,1386,0.8629,0.0267,22,-0.2143,-0.2143,634,0.016,0.1281,151.5,0.0821,0.0978,526590,0.0059,-0.0018,4381,-0.0623,0.1067,0.0358,0.0049,-0.0003
1/1/2019 0:00,26099,"Macomb, MI",58,*,209750,0.0087,0.0488,2377,-0.0671,0.2704,56.5,0.066,-0.1308,1080,0.3043,0.2888,52,0.4444,-0.3333,654,0.0548,0.5721,565.5,-0.1696,376,259500,0.0173,0.0236,2942.5,-0.0887,0.5714,0.2379,-0.0294,0.2371
1/1/2019 0:00,39061,"Hamilton, OH",59,,221050,0.005,0.0786,1906,-0.1102,0.0589,72,0.1803,-0.0588,684,0.1875,0.0118,16,3,-0.4286,418,-0.0324,0.0556,990.5,-0.0921,-0.1753,341362,-0.0132,0.0145,2896.5,-0.1041,-0.0348,0.5197,0.0103,-0.1475
1/1/2019 0:00,9009,"New Haven, CT",60,,259950,0,0.0396,3552,-0.0964,0.0452,103,0.0842,0.0619,700,0.1986,-0.1026,18,0.5,-0.25,546,0.092,0.1717,1,0,,353366,0.0039,-0.0621,3553,-0.0964,0.0455,0.0003,0,0.0003
1/1/2019 0:00,48085,"Collin, TX",61,,392175.25,0.0025,-0.0191,3937.5,-0.0629,0.22,75,0.0135,0.1278,1298,0.3868,0.0109,146,0.1061,-0.3761,1258,0.1913,0.5193,757.5,-0.1855,-0.1431,463228,0.0034,-0.0127,4695,-0.0852,0.1419,0.1924,-0.0289,-0.0815
1/1/2019 0:00,41051,"Multnomah, OR",62,,449950,0.002,0.0242,2044.5,-0.1203,0.4193,70,0.0294,0.2174,980,0.9444,0.4497,50,0.25,0.1364,598,0.1157,0.7485,5,-0.1667,-0.8148,572593,0.0084,0.0097,2049.5,-0.1204,0.3966,0.0024,-0.0001,-0.0163
1/1/2019 0:00,15003,"Honolulu, HI",63,,699050,0,0,3014.5,0.0164,0.3603,67.75,-0.059,-0.0037,1226,0.4951,0.1588,16,0,-0.5,590,0.2292,0.7052,2,0,,1156751,-0.0067,-0.1351,3016.5,0.0163,0.3612,0.0007,0,0.0007
1/1/2019 0:00,24005,"Baltimore, MD",64,,265050,-0.0149,0.0313,2181.5,-0.1164,0.0218,76.5,0.1418,0.0338,670,0.1395,-0.0456,44,0.375,0.0476,542,-0.0655,0.1107,1,0,0,355449,0.0287,-0.0231,2182.5,-0.1164,0.0218,0.0005,0.0001,0
1/1/2019 0:00,24033,"Prince George's, MD",65,,314950,-0.0003,0.0325,2465,-0.0867,0.1428,66.25,0.1229,0.0192,800,0.0471,0.1111,86,0.0238,-0.1887,556,-0.0544,0.3301,0,,,333318,0.0085,-0.0073,2465,-0.0867,0.1428,0,0,0
1/1/2019 0:00,53053,"Pierce, WA",66,,419987.5,0.0242,0.0645,1460,-0.1681,0.241,65.75,0.0115,0.1637,762,0.2616,0.1108,42,0.1667,-0.4474,406,-0.0333,0.2378,823,-0.0637,0.0043,496980,0.0115,0.0223,2283,-0.1333,0.1438,0.5637,0.0628,-0.1329
1/1/2019 0:00,21111,"Jefferson, KY",67,*,235050,-0.0167,0.0564,2348.5,-0.079,0.1615,64.5,0.075,-0.0719,960,0.4035,0.2435,36,-0.3571,-0.1818,552,0.122,0.1795,839,-0.1215,-0.2826,318536,-0.0065,0.04,3187.5,-0.0906,-0.0013,0.3572,-0.0173,-0.2211
1/1/2019 0:00,25025,"Suffolk, MA",68,,694050,0.0058,-0.1125,1028.5,-0.1164,0.5192,66.25,0.1229,-0.0038,506,1.181,0.2163,2,-0.75,-0.6667,190,0.0556,0.9792,0,,,1276764,0.0488,-0.0819,1028.5,-0.1164,0.5192,0,0,0
